Elective_Outcomes_ID,Name,Knowledge_Unit,Learning_Aspect,Objective_Number
,"Define the classes P and NP. (Also appears in AL/Basic Automata, Computability, and Complexity).",AL/Advanced computational theory,[Familiarity],1
,Define the P-space class and its relation to the EXP class.,AL/Advanced computational theory,[Familiarity],2
,"Explain the significance of NP-completeness. (Also appears in AL/Basic Automata, Computability, and Complexity).",AL/Advanced computational theory,[Familiarity],3
,Provide examples of classic NP-complete problems.,AL/Advanced computational theory,[Familiarity],4
,Prove that a problem is NP-complete by reducing a classic known NP-complete problem to it.,AL/Advanced computational theory,[Usage],5
,"Determine a language’s place in the Chomsky hierarchy (regular, context-free, recursively enumerable).","AL/advanced automata, computability and complexity",[Assessment],1
,"Convert among equivalently powerful notations for a language, including among DFAs, NFAs, and regular expressions, and between PDAs and CFGs.","AL/advanced automata, computability and complexity",[Usage],2
,Explain the Church-Turing thesis and its significance.,"AL/advanced automata, computability and complexity",[Familiarity],3
,Explain Rice’s Theorem and its significance.,"AL/advanced automata, computability and complexity",[Familiarity],4
,Provide examples of uncomputable functions.,"AL/advanced automata, computability and complexity",[Familiarity],5
,Prove that a problem is uncomputable by reducing a classic known uncomputable problem to it.,"AL/advanced automata, computability and complexity",[Usage],6
,"Understand the mapping of real-world problems to algorithmic solutions (e.g., as graph problems, linear programs, etc.).","AL/Advanced Data Structures, Algorithms, and Analysis",[Assessment],1
,"Select and apply advanced algorithmic techniques (e.g., randomization, approximation) to solve real problems.","AL/Advanced Data Structures, Algorithms, and Analysis",[Assessment],2
,"Select and apply advanced analysis techniques (e.g., amortized, probabilistic, etc.) to algorithms.","AL/Advanced Data Structures, Algorithms, and Analysis",[Assessment],3
,Compare alternative implementation of datapaths.,AR/Functional Organization ,[Familiarity],1
,Discuss the concept of control points and the generation of control signals using hardwired or microprogrammed implementations.,AR/Functional Organization ,[Familiarity],2
,Explain basic instruction level parallelism using pipelining and the major hazards that may occur.,AR/Functional Organization ,[Familiarity],3
,"Design and implement a complete processor, including datapath and control.",AR/Functional Organization ,[Usage],4
,"Determine, for a given processor and memory system implementation, the average cycles per instruction.",AR/Functional Organization ,[Assessment],5
,Discuss the concept of parallel processing beyond the classical von Neumann model.,AR/Multiprocessing and Alternative Architectures,[Familiarity],1
,Describe alternative parallel architectures such as SIMD and MIMD.,AR/Multiprocessing and Alternative Architectures,[Familiarity],2
,Explain the concept of interconnection networks and characterize different approaches.,AR/Multiprocessing and Alternative Architectures,[Familiarity],3
,Discuss the special concerns that multiprocessing systems present with respect to memory management and describe how these are addressed.,AR/Multiprocessing and Alternative Architectures,[Familiarity],4
,"Describe the differences between memory backplane, processor memory interconnect, and remote memory via networks, their implications for access latency and impact on program performance.",AR/Multiprocessing and Alternative Architectures,[Familiarity],5
,Describe superscalar architectures and their advantages.,AR/Performance Enhancements,[Familiarity],1
,Explain the concept of branch prediction and its utility.,AR/Performance Enhancements,[Familiarity],2
,Characterize the costs and benefits of prefetching.,AR/Performance Enhancements,[Familiarity],3
,Explain speculative execution and identify the conditions that justify it.,AR/Performance Enhancements,[Familiarity],4
,Discuss the performance advantages that multithreading offered in an architecture along with the factors that make it difficult to derive maximum benefits from this approach.,AR/Performance Enhancements,[Familiarity],5
,Describe the relevance of scalability to performance.,AR/Performance Enhancements,[Familiarity],6
,Explain and give examples of the benefits of simulation and modeling in a range of important application areas.,CN/Modeling and Simulation,[Familiarity],1
,Demonstrate the ability to apply the techniques of modeling and simulation to a range of problem areas.,CN/Modeling and Simulation,[Usage],2
,Explain the constructs and concepts of a particular modeling approach.,CN/Modeling and Simulation,[Familiarity],3
,"Explain the difference between validation and verification of a model; demonstrate the difference with specific examples (Verification means that the computations of the model are correct. If we claim to compute total time, for example, the computation actually does that. Validation asks whether the model matches the real situation.)",CN/Modeling and Simulation,[Assessment],4
,Verify and validate the results of a simulation.,CN/Modeling and Simulation,[Assessment],5
,"Evaluate a simulation, highlighting the benefits and the drawbacks.",CN/Modeling and Simulation,[Assessment],6
,Choose an appropriate modeling approach for a given problem or situation.,CN/Modeling and Simulation,[Assessment],7
,Compare results from different simulations of the same situation and explain any differences.,CN/Modeling and Simulation,[Assessment],8
,Infer the behavior of a system from the results of a simulation of the system.,CN/Modeling and Simulation,[Assessment],9
,Extend or adapt an existing model to a new situation.,CN/Modeling and Simulation,[Assessment],10
,Explain the characteristics and defining properties of algorithms and how they relate to machine processing.,CN/Processing,[Familiarity],1
,Analyze simple problem statements to identify relevant information and select appropriate processing to solve the problem.,CN/Processing,[Assessment],2
,Identify or sketch a workflow for an existing computational process such as the creation of a graph based on experimental data.,CN/Processing,[Familiarity],3
,Describe the process of converting an algorithm to machine-executable code.,CN/Processing,[Familiarity],4
,Summarize the phases of software development and compare several common lifecycle models.,CN/Processing,[Familiarity],5
,"Explain how data is represented in a machine. Compare representations of integers to floating point numbers. Describe underflow, overflow, round off, and truncation errors in data representations.",CN/Processing,[Familiarity],6
,Apply standard numerical algorithms to solve ODEs and PDEs. Use computing systems to solve systems of equations.,CN/Processing,[Usage],7
,"Describe the basic properties of bandwidth, latency, scalability and granularity.",CN/Processing,[Familiarity],8
,"Describe the levels of parallelism including task, data, and event parallelism.",CN/Processing,[Familiarity],9
,Compare and contrast parallel programming paradigms recognizing the strengths and weaknesses of each.,CN/Processing,[Assessment],10
,Identify the issues impacting correctness and efficiency of a computation.,CN/Processing,[Familiarity],11
,"Design, code, test and debug programs for a parallel computation.",CN/Processing,[Usage],12
,"Compare common computer interface mechanisms with respect to ease-of-use, learnability, and cost.",CN/Interactive Visualization,[Assessment],1
,"Use standard APIs and tools to create visual displays of data, including graphs, charts, tables, and histograms.",CN/Interactive Visualization,[Usage],2
,Describe several approaches to using a computer as a means for interacting with and processing data.,CN/Interactive Visualization,[Familiarity],3
,Extract useful information from a dataset.,CN/Interactive Visualization,[Assessment],4
,Analyze and select visualization techniques for specific problems.,CN/Interactive Visualization,[Assessment],5
,Describe issues related to scaling data analysis from small to large data sets.,CN/Interactive Visualization,[Familiarity],6
,"Identify all of the data, information, and knowledge elements and related organizations, for a computational science application.","CN/Data, Information, and Knowledge",[Assessment],1
,Describe how to represent data and information for processing.,"CN/Data, Information, and Knowledge",[Familiarity],2
,"Describe typical user requirements regarding that data, information, and knowledge.","CN/Data, Information, and Knowledge",[Familiarity],3
,"Select a suitable system or software implementation to manage data, information, and knowledge.","CN/Data, Information, and Knowledge",[Assessment],4
,"List and describe the reports, transactions, and other processing needed for a computational science application.","CN/Data, Information, and Knowledge",[Familiarity],5
,"Compare and contrast database management, information retrieval, and digital library systems with regard to handling typical computational science applications.","CN/Data, Information, and Knowledge",[Assessment],6
,"Design a digital library for some computational science users/societies, with appropriate content and services.","CN/Data, Information, and Knowledge",[Usage],7
,"Define error, stability, machine precision concepts and the inexactness of computational approximations.",CN/Numerical Analysis,[Familiarity],1
,"Implement Taylor series, interpolation, extrapolation, and regression algorithms for approximating functions.",CN/Numerical Analysis,[Usage],2
,Implement algorithms for differentiation and integration.,CN/Numerical Analysis,[Usage],3
,Implement algorithms for solving differential equations.,CN/Numerical Analysis,[Usage],4
,Describe the basic process of producing continuous motion from a sequence of discrete frames (sometimes called “flicker fusion”).,GV/Fundamental Concepts,[Familiarity],8
,Describe how double-buffering can remove flicker from animation.,GV/Fundamental Concepts,[Familiarity],9
,"Discuss the light transport problem and its relation to numerical integration i.e., light is emitted, scatters around the scene, and is measured by the eye.",GV/Basic Rendering,[Familiarity],1
,Describe the basic graphics pipeline and how forward and backward rendering factor in this.,GV/Basic Rendering,[Familiarity],2
,Create a program to display 3D models of simple graphics images.,GV/Basic Rendering,[Usage],3
,"Derive linear perspective from similar triangles by converting points (x, y, z) to points (x/z, y/z, 1).",GV/Basic Rendering,[Usage],4
,Obtain 2-dimensional and 3-dimensional points by applying affine transformations.,GV/Basic Rendering,[Usage],5
,Apply 3-dimensional coordinate system and the changes required to extend 2D transformation operations to handle transformations in 3D.,GV/Basic Rendering,[Usage],6
,Contrast forward and backward rendering.,GV/Basic Rendering,[Assessment],7
,"Explain the concept and applications of texture mapping, sampling, and anti-aliasing.",GV/Basic Rendering,[Familiarity],8
,Explain the ray tracing/rasterization duality for the visibility problem.,GV/Basic Rendering,[Familiarity],9
