Elective_Topic_ID,Name,Knowledge_Unit
,Review of the classes P and NP; introduce P-space and EXP,AL/Advanced computational theory
,Polynomial hierarchy,AL/Advanced computational theory
,NP-completeness (Cook’s theorem),AL/Advanced computational theory
,Classic NP-complete problems,AL/Advanced computational theory
,Reduction Techniques,AL/Advanced computational theory
,Regular languages,"AL/advanced automata, computability and complexity"
,Review of deterministic finite automata (DFAs),"AL/advanced automata, computability and complexity"
,Nondeterministic finite automata (NFAs),"AL/advanced automata, computability and complexity"
,Equivalence of DFAs and NFAs,"AL/advanced automata, computability and complexity"
,Review of regular expressions; their equivalence to finite automata,"AL/advanced automata, computability and complexity"
,Closure properties,"AL/advanced automata, computability and complexity"
,"Proving languages non-regular, via the pumping lemma or alternative means","AL/advanced automata, computability and complexity"
,Context-free languages,"AL/advanced automata, computability and complexity"
,Push-down automata (PDAs),"AL/advanced automata, computability and complexity"
,Relationship of PDAs and context-free grammars,"AL/advanced automata, computability and complexity"
,Properties of context-free languages,"AL/advanced automata, computability and complexity"
,"Turing machines, or an equivalent formal model of universal computation","AL/advanced automata, computability and complexity"
,Nondeterministic Turing machines,"AL/advanced automata, computability and complexity"
,Chomsky hierarchy,"AL/advanced automata, computability and complexity"
,The Church-Turing thesis,"AL/advanced automata, computability and complexity"
,Computability,"AL/advanced automata, computability and complexity"
,Rice’s Theorem,"AL/advanced automata, computability and complexity"
,Examples of uncomputable functions,"AL/advanced automata, computability and complexity"
,Implications of uncomputability,"AL/advanced automata, computability and complexity"
,"Balanced trees (e.g., AVL trees, red-black trees, splay trees, treaps)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Graphs (e.g., topological sort, finding strongly connected components, matching)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Advanced data structures (e.g., B-trees, Fibonacci heaps)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"String-based data structures and algorithms (e.g., suffix arrays, suffix trees, tries)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Network flows (e.g., max flow [Ford-Fulkerson algorithm], max flow – min cut, maximum bipartite matching)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Linear Programming (e.g., duality, simplex method, interior point algorithms)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Number-theoretic algorithms (e.g., modular arithmetic, primality testing, integer factorization)","AL/Advanced Data Structures, Algorithms, and Analysis"
,"Geometric algorithms (e.g., points, line segments, polygons. [properties, intersections], finding convex hull, spatial decomposition, collision detection, geometric search/proximity)","AL/Advanced Data Structures, Algorithms, and Analysis"
,Randomized algorithms,"AL/Advanced Data Structures, Algorithms, and Analysis"
,Stochastic algorithms,"AL/Advanced Data Structures, Algorithms, and Analysis"
,Approximation algorithms,"AL/Advanced Data Structures, Algorithms, and Analysis"
,Amortized analysis,"AL/Advanced Data Structures, Algorithms, and Analysis"
,Probabilistic analysis,"AL/Advanced Data Structures, Algorithms, and Analysis"
,Online algorithms and competitive analysis,"AL/Advanced Data Structures, Algorithms, and Analysis"
,"Implementation of simple datapaths, including instruction pipelining, hazard detection and resolution",AR/Functional Organization
,Control unit: hardwired realization vs. microprogrammed realization,AR/Functional Organization
,Instruction pipelining,AR/Functional Organization
,Introduction to instruction-level parallelism (ILP),AR/Functional Organization
,Power Law,AR/Multiprocessing and Alternative Architectures
,Example SIMD and MIMD instruction sets and architectures,AR/Multiprocessing and Alternative Architectures
,"Interconnection networks (hypercube, shuffle-exchange, mesh, crossbar)",AR/Multiprocessing and Alternative Architectures
,Shared multiprocessor memory systems and memory consistency,AR/Multiprocessing and Alternative Architectures
,Multiprocessor cache coherence,AR/Multiprocessing and Alternative Architectures
,Superscalar architecture,AR/Performance Enhancements
,"Branch prediction, Speculative execution, Out-of-order execution",AR/Performance Enhancements
,Prefetching,AR/Performance Enhancements
,Vector processors and GPUs,AR/Performance Enhancements
,Hardware support for multithreading,AR/Performance Enhancements
,Scalability,AR/Performance Enhancements
,"Alternative architectures, such as VLIW/EPIC, and Accelerators and other kinds of Special-Purpose Processors",AR/Performance Enhancements
,"Purpose of modeling and simulation including optimization; supporting decision making, forecasting, safety considerations; for training and education",CN/Modeling and Simulation
,"Tradeoffs including performance, accuracy, validity, and complexity",CN/Modeling and Simulation
,"The simulation process; identification of key characteristics or behaviors, simplifying assumptions; validation of outcomes",CN/Modeling and Simulation
,"Model building: use of mathematical formulas or equations, graphs, constraints; methodologies and techniques; use of time stepping for dynamic systems",CN/Modeling and Simulation
,Formal models and modeling techniques: mathematical descriptions involving simplifying assumptions and avoiding detail. Examples of techniques include:,CN/Modeling and Simulation
,Monte Carlo methods,CN/Modeling and Simulation
,Stochastic processes,CN/Modeling and Simulation
,Queuing theory,CN/Modeling and Simulation
,Petri nets and colored Petri nets,CN/Modeling and Simulation
,"Graph structures such as directed graphs, trees, networks",CN/Modeling and Simulation
,"Games, game theory, the modeling of things using game theory",CN/Modeling and Simulation
,Linear programming and its extensions,CN/Modeling and Simulation
,Dynamic programming,CN/Modeling and Simulation
