Tier1_Outcomes_ID,Name,Knowledge_Unit,Learning_Aspect,Objective_Number
,"Explain what is meant by “best”, “expected”, and “worst” case behavior of an algorithm.",AL/Basic analysis,[Familiarity],1
,"In the context of specific algorithms, identify the characteristics of data and/or other conditions or assumptions that lead to different behaviors.",AL/Basic analysis,[Assessment],2
,Determine informally the time and space complexity of simple algorithms.,AL/Basic analysis,[Usage],3
,State the formal definition of big O.,AL/Basic analysis,[Familiarity],4
,List and contrast standard complexity classes.,AL/Basic analysis,[Familiarity],5
,Perform empirical studies to validate hypotheses about runtime stemming from mathematical analysis. Run algorithms on input of various sizes and compare performance.,AL/Basic analysis,[Assessment],6
,Give examples that illustrate time-space trade-offs of algorithms.,AL/Basic analysis,[Familiarity],7
,"For each of the strategies (brute-force, greedy, divide-and-conquer, recursive backtracking, and dynamic programming), identify a practical example to which it would apply.",AL/Algorithmic Strategies,[Familiarity],1
,Use a greedy approach to solve an appropriate problem and determine if the greedy rule chosen leads to an optimal solution.,AL/Algorithmic Strategies,[Assessment],2
,Use a divide-and-conquer algorithm to solve an appropriate problem.,AL/Algorithmic Strategies,[Usage],3
,Use recursive backtracking to solve a problem such as navigating a maze.,AL/Algorithmic Strategies,[Usage],4
,Use dynamic programming to solve an appropriate problem.,AL/Algorithmic Strategies,[Usage],5
,Determine an appropriate algorithmic approach to a problem.,AL/Algorithmic Strategies,[Assessment],6
,Implement basic numerical algorithms.,AL/Fundamental Data Structures and alrgorithms,[Usage],1
,Implement simple search algorithms and explain the differences in their time complexities.,AL/Fundamental Data Structures and alrgorithms,[Assessment],2
,Be able to implement common quadratic and O(N log N) sorting algorithms.,AL/Fundamental Data Structures and alrgorithms,[Usage],3
,"Describe the implementation of hash tables, including collision avoidance and resolution.",AL/Fundamental Data Structures and alrgorithms,[Familiarity],4
,"Discuss the runtime and memory efficiency of principal algorithms for sorting, searching, and hashing.",AL/Fundamental Data Structures and alrgorithms,[Familiarity],5
,"Discuss factors other than computational efficiency that influence the choice of algorithms, such as programming time, maintainability, and the use of application-specific patterns in the input data.",AL/Fundamental Data Structures and alrgorithms,[Familiarity],6
,Explain how tree balance affects the efficiency of various binary search tree operations.,AL/Fundamental Data Structures and alrgorithms,[Familiarity],7
,"Solve problems using fundamental graph algorithms, including depth-first and breadth-first search.",AL/Fundamental Data Structures and alrgorithms,[Usage],8
,"Demonstrate the ability to evaluate algorithms, to select from a range of possible options, to provide justification for that selection, and to implement the algorithm in a particular context.",AL/Fundamental Data Structures and alrgorithms,[Assessment],9
,Discuss the concept of finite state machines.,"AL/Basic automata, computability and complexity",[Familiarity],1
,Design a deterministic finite state machine to accept a specified language.,"AL/Basic automata, computability and complexity",[Usage],2
,Generate a regular expression to represent a specified language.,"AL/Basic automata, computability and complexity",[Usage],3
,Explain why the halting problem has no algorithmic solution.,"AL/Basic automata, computability and complexity",[Familiarity],4
,Explain the concept of modeling and the use of abstraction that allows the use of a machine to solve a problem.,CN/Introduction to Modeling and Simulation,[Familiarity],1
,"Describe the relationship between modeling and simulation, i.e., thinking of simulation as dynamic modeling.",CN/Introduction to Modeling and Simulation,[Familiarity],2
,"Create a simple, formal mathematical model of a real-world situation and use that model in a simulation.",CN/Introduction to Modeling and Simulation,[Usage],3
,"Differentiate among the different types of simulations, including physical simulations, human-guided simulations, and virtual reality.",CN/Introduction to Modeling and Simulation,[Familiarity],4
,Describe several approaches to validating models.,CN/Introduction to Modeling and Simulation,[Familiarity],5
,Create a simple display of the results of a simulation.,CN/Introduction to Modeling and Simulation,[Usage],6
,"Explain with examples the basic terminology of functions, relations, and sets.","DS/Sets, Relations, and Functions ",[Familiarity],1
,"Perform the operations associated with sets, functions, and relations.","DS/Sets, Relations, and Functions ",[Usage],2
,"Relate practical examples to the appropriate set, function, or relation model, and interpret the associated operations and terminology in context.","DS/Sets, Relations, and Functions ",[Assessment],3
,Convert logical statements from informal language to propositional and predicate logic expressions.,DS/Basic Logic ,[Usage],1
,"Apply formal methods of symbolic propositional and predicate logic, such as calculating validity of formulae and computing normal forms.",DS/Basic Logic ,[Usage],2
,Use the rules of inference to construct proofs in propositional and predicate logic.,DS/Basic Logic ,[Usage],3
,"Describe how symbolic logic can be used to model real-life situations or applications, including those arising in computing contexts such as software analysis (e.g., program correctness), database queries, and algorithms.",DS/Basic Logic ,[Usage],4
