Tier2_Topic_ID,Name,Knowledge_Unit
,Big O notation: use,AL/Basic Analysis
,"Little o, big omega and big theta notation",AL/Basic Analysis
,Recurrence relations,AL/Basic Analysis
,Analysis of iterative and recursive algorithms,AL/Basic Analysis
,Some version of a Master Theorem,AL/Basic Analysis
,Branch-and-bound,AL/Algorithmic Strategies
,Heuristics,AL/Algorithmic Strategies
,Reduction: transform-and-conquer,AL/Algorithmic Strategies
,Heaps,AL/Fundamental Data Structures and Algorithms
,Graphs and graph algorithms o Shortest-path algorithms (Dijkstra’s and Floyd’s algorithms) o Minimum spanning tree (Prim’s and Kruskal’s algorithms),AL/Fundamental Data Structures and Algorithms
,"Pattern matching and string/text algorithms (e.g., substring matching, regular expression matching, longest common subsequence algorithms)",AL/Fundamental Data Structures and Algorithms
,Context-free grammars (cross-reference PL/Syntax Analysis),AL/Basic Automata Computability and Complexity
,Introduction to the P and NP classes and the P vs. NP problem,AL/Basic Automata Computability and Complexity
,"Introduction to the NP-complete class and exemplary NP-complete problems (e.g., SAT, Knapsack)",AL/Basic Automata Computability and Complexity
,Overview and history of computer architecture,AR/Digital Logic and Digital Systems
,Combinational vs. sequential logic/Field programmable gate arrays as a fundamental combinational + sequential logic building block,AR/Digital Logic and Digital Systems
,Multiple representations/layers of interpretation (hardware is just another layer),AR/Digital Logic and Digital Systems
,Computer-aided design tools that process hardware and architectural representations,AR/Digital Logic and Digital Systems
,Register transfer notation/Hardware Description Language (Verilog/VHDL),AR/Digital Logic and Digital Systems
,"Physical constraints (gate delays, fan-in, fan-out, energy/power)",AR/Digital Logic and Digital Systems
,"Bits, bytes, and word",AR/Machine Level Representation of Data
,Numeric data representation and number bases,AR/Machine Level Representation of Data
,Fixed- and floating-point systems,AR/Machine Level Representation of Data
,Signed and twos-complement representations,AR/Machine Level Representation of Data
,"Representation of non-numeric data (character codes, graphical data)",AR/Machine Level Representation of Data
,Representation of records and arrays,AR/Machine Level Representation of Data
,Basic organization of the von Neumann machine,AR/Assembly Level Machine Organization
,"Control unit; instruction fetch, decode, and execution",AR/Assembly Level Machine Organization
,"Instruction sets and types (data manipulation, control, I/O)",AR/Assembly Level Machine Organization
,Assembly/machine language programming,AR/Assembly Level Machine Organization
,Instruction formats,AR/Assembly Level Machine Organization
,Addressing modes,AR/Assembly Level Machine Organization
,Subroutine call and return mechanisms (cross-reference PL/Language Translation and Execution),AR/Assembly Level Machine Organization
,I/O and interrupts,AR/Assembly Level Machine Organization
,Heap vs. Static vs. Stack vs. Code segments,AR/Assembly Level Machine Organization
,Shared memory multiprocessors/multicore organization,AR/Assembly Level Machine Organization
,Introduction to SIMD vs. MIMD and the Flynn Taxonomy,AR/Assembly Level Machine Organization
,Storage systems and their technology,AR/Memory System Organization and Architecture
,Memory hierarchy: importance of temporal and spatial locality,AR/Memory System Organization and Architecture
,Main memory organization and operations,AR/Memory System Organization and Architecture
,"Latency, cycle time, bandwidth, and interleaving",AR/Memory System Organization and Architecture
,"Cache memories (address mapping, block size, replacement and store policy)",AR/Memory System Organization and Architecture
,Multiprocessor cache consistency/Using the memory system for inter-core synchronization/atomic memory operations,AR/Memory System Organization and Architecture
,"Virtual memory (page table, TLB)",AR/Memory System Organization and Architecture
,Fault handling and reliability,AR/Memory System Organization and Architecture
,"Error coding, data compression, and data integrity (cross-reference SF/Reliability through Redundancy)",AR/Memory System Organization and Architecture
,"I/O fundamentals: handshaking, buffering, programmed I/O, interrupt-driven I/O",AR/Interfacing and Communication
,"Interrupt structures: vectored and prioritized, interrupt acknowledgment",AR/Interfacing and Communication
,"External storage, physical organization, and drives",AR/Interfacing and Communication
,"Buses: bus protocols, arbitration, direct-memory access (DMA)",AR/Interfacing and Communication
,Introduction to networks: communications networks as another layer of remote access,AR/Interfacing and Communication
,Multimedia support,AR/Interfacing and Communication
,RAID architectures,AR/Interfacing and Communication
,Well orderings,DS/Proof Techniques
,Spanning trees/forests,DS/Graphs and Trees
,Graph isomorphism,DS/Graphs and Trees
,Variance,DS/Discrete Probability
,Conditional Independence,DS/Discrete Probability
,Additive and subtractive color models (CMYK and RGB) and why these provide a range of colors,GV/Fundamental Concepts
,Tradeoffs between storing data and re-computing data as embodied by vector and raster representations of images,GV/Fundamental Concepts
,Animation as a sequence of still images,GV/Fundamental Concepts
