User_Scores_ID,Institution_ID,Local_Average,National_Average,Question_Number,Exam_Outline,Knowledge_Area,Knowledge_Area_ID,Knowledge_Unit,Knowledge_Unit_ID,Objective_Number,Abet_Category
,1,50,34.5,2,14.1,Systems Fundamentals,,Computational Paradigms,,3,i
,1,75,49.6,3,14.1,Systems Fundamentals,,Computational Paradigms,,4,i
,1,87.5,87,7,3.2,Discrete Structures,,"Sets, Relations, and Functions",,2,i
,1,25,42.2,8,1.4,Algorithms,,Basic Automata Computability and Complexity,,3,j
,1,62.5,37.3,9,1.3,Algorithms,,Fundamental Data Structures and Algorithms,,4,c
,1,50,63.5,13,5.1,Human Computer Interaction,,Foundations,,2,a
,1,37.5,19.9,14,1.3,Algorithms,,Fundamental Data Structures and Algorithms,,4,c
,1,87.5,55.3,15,1.3,Algorithms,,Fundamental Data Structures and Algorithms,,3,c
,1,0,17.3,23,4.1,Graphics and Visual Computing,,Fundamental Concepts,,2,a
,1,25,25.2,24,4.1,Graphics and Visual Computing,,Fundamental Concepts,,3,a
,1,50,62.1,28,1.3,Algorithms,,Fundamental Data Structures and Algorithms,,5,c
,1,25,34.2,30,1.3,Algorithms,,Fundamental Data Structures and Algorithms,,8,c
,1,87.5,65.2,32,1.3,Algorithms,,Fundamental Data Structures and Algorithms,,1,c
,1,87.5,62.6,33,12.3,Software Development Fundamentals,,Fundamental Programming Concepts,,1,j
,1,62.5,65.8,41,2.2,Discrete Structures,,"Sets, Relations, and Functions",,3,i
,1,87.5,73.3,42,3.3,Discrete Structures,,Basics of Counting,,1,a
,1,50,48.4,43,3.3,Discrete Structures,,Basics of Counting,,2,a
,1,100,76.4,44,3.3,Discrete Structures,,Basics of Counting,,3,a
,1,87.5,47.2,45,3.3,Discrete Structures,,Basics of Counting,,4,a
,1,87.5,78.9,47,3.3,Discrete Structures,,Basics of Counting,,6,a
,1,50,36,49,3.1,Discrete Structures,,Basic Logic,,1,a
,1,75,45.3,50,3.1,Discrete Structures,,Basic Logic,,2,a
,1,75,39.8,51,3.1,Discrete Structures,,Basic Logic,,3,a
,1,50,40.4,52,3.1,Discrete Structures,,Basic Logic,,5,a
,1,50,35.4,53,3.1,Discrete Structures,,Basic Logic,,6,a
,1,50,54,54,3.5,Discrete Structures,,Discrete Probability,,1,j
,1,62.5,53.4,56,3.5,Discrete Structures,,Discrete Probability,,3,j
,1,62.5,51.6,58,3.5,Discrete Structures,,Discrete Probability,,6,j
,1,87.5,73.3,62,3.2,Discrete Structures,,Proof Techniques,,1,j
,1,50,59,64,3.2,Discrete Structures,,Proof Techniques,,3,j
,1,50,50.9,65,3.2,Discrete Structures,,Proof Techniques,,4,j
,1,75,65.8,66,3.2,Discrete Structures,,Proof Techniques,,5,j
